,A,B,C,D,E,F
1930,11,1,23,8,16,13
1931,17,23,1,22,6,20
1932,11,12,1,22,9,7
1933,10,8,5,19,9,24
1934,14,19,8,24,3,6
1935,6,1,24,2,18,5
1936,12,9,2,24,3,11
1937,12,8,14,22,5,20
1938,15,4,11,20,19,17
1939,21,16,22,5,17,18
1940,4,9,23,11,2,13
1941,15,3,8,14,6,16
1942,3,15,22,13,9,6
1943,12,4,17,13,15,23
1944,8,18,3,6,10,11
1945,3,15,12,18,7,23
1946,12,9,6,17,1,5
1947,22,7,3,12,9,6
1948,9,8,4,16,1,13
1949,9,2,11,1,4,7
1950,3,22,1,16,6,19
1951,4,12,8,19,14,3
1952,8,18,1,20,23,13
1953,4,13,14,20,2,9
1954,10,8,9,2,6,1
1955,7,19,20,11,21,16
1956,1,2,7,11,23,14
1957,9,24,10,20,16,11
1958,13,4,17,12,1,10
1959,7,10,13,5,17,19
1960,18,21,3,12,6,24
1961,9,13,11,22,14,17
1962,7,11,20,24,8,9
1963,1,19,12,8,4,22
1964,19,18,9,1,12,8
1965,12,22,7,8,21,9
1966,5,18,23,6,3,17
1967,1,4,10,9,21,19
1968,18,6,16,14,7,24
1969,1,6,3,20,7,17
1970,11,12,2,22,1,7
1971,5,17,22,4,2,15
1972,10,9,12,13,20,14
1973,11,2,16,17,12,14
1974,22,9,6,14,10,24
1975,18,20,3,22,5,17
1976,24,21,5,4,13,17
1977,22,8,16,19,15,13
1978,11,14,10,16,8,20
1979,16,10,20,8,12,22
1980,3,24,6,14,5,18
1981,12,20,7,22,3,10
1982,10,8,11,17,3,15
1983,4,5,16,24,14,19
1984,17,5,16,18,1,4
1985,19,4,14,15,24,18
1986,12,1,17,9,3,15
1987,1,19,9,23,12,22
1988,11,8,1,2,14,4
1989,14,9,1,15,23,21
1990,16,7,23,6,15,19
1991,7,9,10,3,1,24
1992,21,24,5,3,16,2
1993,4,2,24,11,3,5
1994,7,21,22,10,18,17
1995,9,1,7,13,20,21
1996,23,19,22,17,4,11
1997,6,7,18,8,16,10
1998,9,7,24,21,19,15
1999,16,12,11,15,18,2
2000,23,15,24,1,7,22
2001,18,24,7,14,19,22
2002,8,22,4,15,18,7
2003,20,18,6,5,7,10
2004,23,11,3,20,12,7
2005,2,23,21,24,1,14
2006,20,3,7,1,8,6
2007,20,16,23,12,15,19
2008,10,5,8,17,11,13
2009,22,16,21,24,20,10
2010,23,10,14,2,7,24
2011,23,12,13,18,3,22
2012,7,3,16,18,4,20
2013,14,12,18,23,4,3
2014,16,7,2,20,14,24
2015,5,22,20,15,19,9
2016,10,23,1,3,24,18
2017,24,23,22,3,18,1
2018,2,8,7,19,23,15
2019,11,5,23,6,16,2
2020,14,23,16,6,10,12
2021,11,22,16,12,14,13
2022,16,14,19,13,5,22
2023,15,17,19,16,23,7
2024,14,24,9,4,21,11
2025,13,3,2,10,4,11
2026,6,17,23,2,12,22
2027,21,6,7,1,18,8
2028,7,2,23,9,16,1
2029,17,3,21,19,22,8
2030,3,17,10,9,13,18
2031,13,7,19,18,15,23
2032,22,10,3,19,6,24
2033,22,8,11,9,10,7
2034,17,8,18,6,7,3
2035,23,14,9,5,20,7
2036,12,20,13,1,19,15
2037,16,12,1,2,14,4
2038,19,20,24,9,23,17
2039,22,7,12,5,18,8
2040,13,18,14,7,23,5
2041,14,18,23,16,20,17
2042,19,18,15,10,21,23
2043,20,15,21,14,18,19
2044,5,19,15,7,16,20
2045,11,6,12,14,18,13
2046,19,16,5,23,17,15
2047,9,12,2,3,21,11
2048,19,3,20,16,1,13
2049,22,23,21,12,8,10
2050,4,7,3,22,1,19
2051,17,23,20,14,1,10
2052,9,1,19,10,20,6
2053,15,18,20,14,21,6
2054,13,6,9,1,12,14
2055,8,12,21,13,16,15
2056,8,3,22,12,10,23
2057,18,16,17,23,13,9
2058,7,24,13,1,19,10
2059,20,1,4,10,17,3
2060,8,22,1,13,21,14
2061,8,21,13,18,17,19
2062,17,10,8,6,7,23
2063,18,9,16,4,8,23
2064,19,5,4,14,22,23
2065,24,2,6,20,11,3
2066,15,20,4,7,19,8
2067,2,8,20,6,12,7
2068,4,19,3,24,21,20
2069,3,13,24,11,2,7
2070,16,9,11,5,23,3
2071,4,6,5,20,23,24
2072,17,13,3,21,5,20
2073,6,12,11,13,2,4
2074,6,17,3,1,24,10
2075,22,23,6,13,16,10
2076,22,21,5,15,24,14
2077,6,22,13,17,14,12
2078,2,15,18,17,14,19
2079,19,12,8,10,24,11
2080,13,10,22,11,4,20
2081,1,21,18,17,14,12
2082,24,9,17,23,22,15
2083,10,2,19,23,9,8
2084,20,17,6,19,2,18
2085,6,23,18,13,1,21
2086,24,8,19,3,21,14
2087,9,5,24,8,12,3
2088,22,13,9,21,3,6
2089,18,4,12,8,16,24
2090,1,8,7,18,13,23
2091,4,5,16,15,17,18
2092,2,10,22,13,21,5
2093,4,11,16,18,9,8
2094,17,3,6,19,15,9
2095,17,10,5,13,16,14
2096,14,4,2,3,16,23
2097,6,8,3,13,11,9
2098,18,9,13,22,2,20
2099,2,7,15,13,10,6
2100,24,17,14,10,9,3
2101,4,12,23,21,5,2
2102,13,4,23,7,14,12
2103,5,10,12,2,18,21
2104,1,18,8,15,7,9
2105,7,17,9,15,8,12
2106,5,10,8,19,6,18
2107,7,18,1,4,24,11
2108,23,3,7,10,14,22
2109,1,7,17,19,18,20
2110,2,24,12,11,16,8
2111,20,18,8,3,9,6
2112,24,11,3,16,21,1
2113,5,16,10,13,6,1
2114,24,21,7,20,13,15
2115,13,19,8,16,6,23
2116,9,18,7,20,17,13
2117,6,3,15,10,24,17
2118,19,6,13,1,7,12
2119,20,5,4,19,10,9
2120,7,19,12,8,5,17
2121,24,9,11,23,22,14
2122,10,2,13,6,21,24
2123,7,15,18,2,11,21
2124,23,13,20,19,6,10
2125,1,7,5,23,19,16
2126,15,14,6,9,2,10
2127,6,1,18,13,9,22
2128,10,8,23,13,16,4
2129,10,12,14,21,23,4
2130,17,14,22,6,10,12
2131,16,1,2,21,12,8
2132,18,9,13,17,8,14
2133,8,1,9,19,24,4
2134,24,10,8,13,18,1
2135,7,14,19,6,17,8
2136,18,3,21,6,10,17
2137,3,22,12,11,1,18
2138,11,1,21,12,6,24
2139,19,18,1,17,22,21
2140,20,16,4,19,12,6
2141,21,7,23,16,20,3
2142,22,20,23,21,17,11
2143,23,14,20,8,12,18
2144,23,8,17,9,16,6
2145,24,8,17,20,2,7
2146,23,17,9,21,18,13
2147,10,9,17,7,23,6
2148,11,10,23,5,1,2
2149,23,22,16,12,6,7
2150,23,9,15,8,24,10
2151,20,8,4,7,9,15
2152,4,15,10,18,16,19
2153,12,3,23,18,13,14
2154,11,24,12,4,21,3
2155,16,3,21,15,18,5
2156,24,2,9,5,8,19
2157,17,5,12,2,10,19
2158,9,6,20,23,13,4
2159,3,23,21,4,20,1
2160,16,18,2,12,14,17
2161,3,4,2,21,9,18
2162,2,21,13,23,16,5
2163,15,2,3,6,8,19
2164,20,8,18,2,21,12
2165,18,16,1,15,17,7
2166,6,1,12,14,20,7
2167,11,20,16,19,15,21
2168,6,1,19,11,21,7
2169,20,16,11,14,15,7
2170,22,13,12,6,8,21
2171,12,2,24,16,15,4
2172,4,24,22,15,13,14
2173,8,24,21,23,17,19
2174,22,1,6,9,18,11
2175,7,17,10,2,4,21
2176,5,18,12,4,23,1
2177,16,20,4,24,12,23
2178,5,21,17,1,7,9
2179,3,20,16,13,15,6
2180,21,22,7,2,4,12
2181,6,15,24,1,4,18
2182,15,17,21,4,10,9
2183,19,12,22,8,1,15
2184,4,17,5,15,24,1
2185,15,9,13,24,16,10
2186,4,24,17,20,15,21
2187,22,18,10,13,15,12
2188,18,12,15,1,23,4
2189,12,4,21,11,9,18
2190,8,12,10,18,16,13
2191,17,2,5,3,15,14
2192,9,3,22,10,8,12
2193,6,18,16,20,7,4
2194,10,21,2,20,6,15
2195,5,11,6,20,8,10
2196,12,21,15,8,2,1
2197,19,1,22,8,3,10
2198,24,16,9,15,20,19
2199,10,23,9,24,16,11
2200,9,13,20,7,2,10
2201,16,3,4,12,9,6
2202,5,18,19,22,12,15
2203,23,9,13,24,17,1
2204,5,19,23,14,15,24
2205,1,4,22,2,15,21
2206,12,1,15,6,24,16
2207,13,11,18,2,17,24
2208,16,14,12,19,3,10
2209,10,3,16,21,14,13
2210,6,21,20,15,14,1
2211,22,21,8,12,4,19
2212,10,15,8,19,18,6
2213,16,12,22,13,20,14
2214,16,22,1,23,11,21
2215,13,10,15,16,24,7
2216,3,19,23,8,4,16
2217,15,2,16,19,21,22
2218,18,1,9,2,5,23
2219,18,19,12,6,9,22
2220,10,9,18,8,1,17
2221,18,4,20,1,11,14
2222,5,8,19,18,6,12
2223,4,21,13,5,7,8
2224,3,2,13,4,10,19
2225,17,19,18,16,13,20
2226,14,4,15,11,18,20
2227,14,8,4,6,19,11
2228,21,15,24,4,5,17
2229,16,9,23,19,20,17
2230,22,23,2,13,7,21
2231,22,5,12,16,14,6
2232,4,14,22,2,17,1
2233,7,17,20,24,14,15
2234,8,20,15,3,2,17
2235,15,22,2,11,4,18
2236,10,11,12,15,21,17
2237,8,13,10,21,7,20
2238,6,24,10,15,20,21
2239,8,12,11,14,22,24
2240,8,18,14,7,17,5
2241,3,6,7,20,22,5
2242,12,23,7,5,18,17
2243,9,1,17,18,5,15
2244,5,24,7,21,14,16
2245,8,14,19,17,10,4
2246,10,9,7,8,15,21
2247,24,11,4,20,22,8
2248,21,1,20,5,11,16
2249,15,1,22,2,21,12
2250,3,5,11,4,20,9
2251,1,23,18,21,11,10
2252,5,18,16,19,21,22
2253,8,4,12,1,24,19
2254,16,1,21,9,5,24
2255,23,5,22,16,14,7
2256,7,2,19,22,21,20
2257,13,6,17,10,16,14
2258,7,22,5,14,24,10
2259,5,23,22,12,16,1
2260,20,12,15,4,2,3
2261,7,13,12,3,8,5
2262,4,23,17,7,21,8
2263,10,21,1,16,11,3
2264,3,14,4,10,16,9
2265,7,15,20,23,16,14
2266,23,16,1,20,8,14
2267,6,20,21,11,15,2
2268,20,12,8,2,3,9
2269,22,8,2,12,19,11
2270,9,20,24,6,3,12
2271,9,6,8,15,2,5
2272,24,6,7,18,13,2
2273,10,9,22,15,17,2
2274,22,18,7,16,9,11
2275,5,17,20,13,7,23
2276,7,6,4,13,20,15
2277,21,18,12,24,8,1
2278,11,13,23,17,4,6
2279,13,7,18,4,11,12
2280,10,21,1,15,5,9
2281,9,20,4,1,15,23
2282,9,14,19,10,7,12
2283,21,15,13,17,20,22
2284,5,13,3,18,23,16
2285,3,11,23,5,12,1
2286,4,7,6,23,9,2
2287,19,11,5,22,16,15
2288,6,11,20,18,21,1
2289,10,6,20,14,19,15
2290,7,24,8,1,22,10
2291,3,10,19,24,4,21
2292,20,5,21,18,9,22
2293,21,13,23,20,2,19
2294,15,18,23,8,6,4
2295,8,1,21,17,20,22
2296,1,23,5,8,22,6
2297,8,1,7,11,15,10
2298,7,16,22,12,23,15
2299,8,3,7,5,12,16
2300,14,18,16,4,22,5
2301,2,9,1,15,11,23
2302,20,13,10,24,16,2
2303,23,21,24,6,11,17
2304,17,11,24,13,19,2
2305,12,16,21,2,24,7
2306,20,19,17,23,18,12
2307,14,12,24,7,9,22
2308,13,3,21,19,17,18
2309,2,20,17,7,19,23
2310,12,11,9,6,4,20
2311,4,3,24,16,6,23
2312,19,12,24,4,2,14
2313,8,14,18,19,3,17
2314,14,18,8,4,19,11
2315,19,13,12,1,14,3
2316,24,18,15,12,4,9
2317,3,13,16,23,5,4
2318,10,15,16,1,7,14
2319,8,17,13,20,15,9
2320,14,5,23,10,1,15
2321,2,15,21,16,8,10
2322,3,14,21,11,24,18
2323,8,9,11,7,23,20
2324,6,11,22,12,19,10
2325,18,15,20,3,9,19
2326,21,4,14,2,3,6
2327,5,9,23,20,13,4
2328,24,10,3,21,5,22
2329,23,10,17,18,22,14
2330,5,16,14,4,15,9
2331,8,13,10,20,2,23
2332,2,22,21,13,15,10
2333,2,17,8,15,5,3
2334,6,3,24,16,7,21
2335,24,19,2,4,13,17
2336,8,6,10,15,23,21
2337,17,23,12,20,7,5
2338,8,23,6,3,14,1
2339,23,2,9,18,1,13
2340,9,6,5,4,14,21
2341,3,24,14,11,4,2
2342,19,15,6,11,5,12
2343,24,4,9,12,20,23
2344,12,21,11,4,7,23
2345,3,13,22,9,11,1
2346,6,7,10,22,15,17
2347,22,18,13,24,11,3
2348,10,23,16,11,3,4
2349,16,11,5,4,9,21
2350,12,10,4,3,14,13
2351,9,3,21,8,20,16
2352,2,23,6,20,13,15
2353,23,10,14,3,21,6
2354,6,17,14,7,19,21
2355,12,6,22,7,18,3
2356,7,24,9,6,23,1
2357,11,2,24,5,9,19
2358,3,7,22,24,21,11
2359,5,11,3,24,16,23
2360,16,12,23,2,10,11
2361,24,15,20,14,23,11
2362,5,3,13,15,4,20
2363,6,8,3,12,10,14
2364,20,12,14,17,16,10
2365,3,12,8,24,7,9
2366,20,4,21,5,12,24
2367,7,23,1,19,10,3
2368,20,22,5,13,24,23
2369,17,3,18,10,19,20
2370,10,21,11,9,1,14
2371,19,9,22,18,12,8
2372,14,5,21,20,11,16
2373,24,12,2,18,5,6
2374,4,20,9,18,19,10
2375,15,4,7,3,8,1
2376,16,4,3,5,10,1
2377,18,6,24,3,2,9
2378,20,18,19,13,24,1
2379,9,14,10,19,3,6
2380,13,17,21,2,12,8
2381,10,13,7,20,16,11
2382,9,16,1,21,11,24
2383,10,9,20,19,11,18
2384,11,2,10,12,21,8
2385,6,17,20,14,5,10
2386,6,9,3,19,4,13
2387,20,11,21,10,6,17
2388,7,20,16,17,3,15
2389,1,10,3,18,7,4
2390,2,4,19,10,22,11
2391,21,23,5,19,2,15
2392,3,12,18,10,5,17
2393,5,20,13,6,10,8
2394,22,24,21,16,12,20
2395,18,2,7,17,19,15
2396,1,4,11,13,24,18
2397,16,24,3,2,5,15
2398,21,15,18,10,6,20
2399,2,24,12,4,14,11
2400,23,24,6,18,16,14
2401,22,8,1,6,7,19
2402,5,20,1,22,10,12
2403,21,3,5,10,6,19
2404,3,19,2,13,20,10
2405,24,4,12,22,23,1
2406,10,13,23,22,9,16
2407,18,20,4,21,5,10
2408,15,17,8,2,9,20
2409,2,11,14,19,4,16
2410,21,12,1,14,7,2
2411,13,14,23,10,12,22
2412,20,13,22,12,11,15
2413,15,13,18,8,11,7
2414,11,8,4,21,15,1
2415,16,3,9,13,1,21
2416,11,21,13,15,19,8
2417,19,23,17,5,14,2
2418,12,19,10,1,5,23
2419,1,8,16,21,17,14
2420,14,24,17,15,16,9
2421,15,11,4,18,22,5
2422,14,19,7,1,6,11
2423,24,10,7,9,5,18
2424,4,2,11,19,13,15
2425,1,11,14,23,4,21
2426,3,18,2,19,23,24
2427,14,7,5,12,1,22
2428,4,23,18,10,17,20
2429,21,6,4,19,20,1
2430,18,13,21,9,24,4
2431,14,12,8,21,9,20
2432,24,6,21,19,10,7
2433,18,16,11,15,14,12
2434,15,10,3,7,8,17
2435,10,21,8,17,23,4
2436,8,4,18,21,16,24
2437,10,6,21,4,5,9
2438,11,5,9,3,1,10
2439,1,19,20,15,18,2
2440,22,17,2,8,18,23
2441,19,4,21,10,16,23
2442,1,20,18,9,2,4
2443,15,2,5,11,6,16
2444,24,14,19,13,11,4
2445,6,17,15,8,1,9
2446,23,7,13,16,18,12
2447,9,20,3,24,1,18
2448,18,2,3,7,9,19
2449,4,17,1,7,14,12
2450,19,15,4,2,6,8
2451,16,11,14,15,9,2
2452,16,7,4,15,10,17
2453,13,12,8,1,19,15
2454,17,1,16,13,14,7
2455,1,17,23,14,3,15
2456,3,21,11,1,19,22
2457,1,12,21,18,13,6
2458,13,17,3,23,19,14
2459,23,17,6,13,3,16
2460,24,15,9,21,10,20
2461,8,5,21,3,24,23
2462,6,10,1,18,4,14
2463,2,24,17,7,5,10
2464,15,18,20,19,7,17
2465,16,21,14,20,17,7
2466,18,5,4,6,24,8
2467,22,3,21,5,11,18
2468,17,14,6,10,1,11
2469,15,12,14,23,7,1
2470,9,11,21,4,22,8
2471,13,24,19,22,3,7
2472,23,3,17,22,20,21
2473,24,1,18,22,15,2
2474,8,14,7,13,1,2
2475,7,23,11,21,16,17
2476,17,12,16,6,24,21
2477,12,17,21,19,6,16
2478,5,24,12,21,1,23
2479,9,21,4,18,2,13
2480,15,13,21,9,10,19
2481,14,21,15,3,22,1
2482,16,18,3,4,15,10
2483,24,1,23,2,5,3
2484,23,7,18,13,11,5
2485,19,3,23,15,4,21
2486,18,23,6,17,7,15
2487,6,5,11,14,19,8
2488,21,16,11,22,17,14
2489,16,15,23,22,19,4
2490,19,12,4,11,24,23
2491,5,24,10,1,19,13
2492,19,17,7,11,6,24
2493,19,10,11,3,1,14
2494,1,5,4,22,13,7
2495,3,9,1,14,10,5
2496,13,15,22,21,16,10
2497,24,15,6,21,13,5
2498,6,8,1,9,17,12
2499,10,11,12,17,8,14
2500,5,10,23,8,15,1
2501,23,22,10,5,11,21
2502,14,20,11,1,9,23
2503,10,18,3,16,21,12
2504,19,17,16,11,7,18
2505,15,7,10,3,16,23
2506,10,15,7,11,14,23
2507,14,5,1,21,16,22
2508,23,18,11,8,9,20
2509,2,24,12,6,10,11
2510,3,15,12,16,19,2
2511,13,10,17,5,24,22
2512,15,14,12,20,23,11
2513,1,2,21,7,13,4
2514,5,12,10,17,21,3
2515,1,18,15,21,23,12
2516,15,23,3,24,14,20
2517,11,19,16,2,9,5
2518,7,18,23,10,5,9
2519,6,23,19,17,16,9
2520,17,9,12,24,23,10
2521,21,19,22,5,10,16
2522,11,12,14,1,3,24
2523,14,21,7,5,4,11
2524,2,21,7,4,18,11
2525,13,21,16,17,24,7
2526,22,2,3,16,17,9
2527,15,7,23,24,1,4
2528,24,17,15,12,7,13
2529,8,6,17,19,7,21
2530,11,16,23,19,15,10
2531,11,4,1,9,22,10
2532,5,4,11,20,21,10
2533,18,6,7,4,3,17
2534,22,18,2,13,17,19
2535,12,13,6,19,10,11
2536,1,20,19,22,23,2
2537,16,22,18,10,1,7
2538,15,11,6,20,18,19
2539,20,15,23,7,8,3
2540,22,5,21,3,9,7
2541,18,11,2,16,12,17
2542,23,8,4,1,10,3
2543,17,6,12,18,7,3
2544,8,22,16,7,19,18
2545,7,13,16,8,21,6
2546,23,3,14,17,16,19
2547,17,16,10,18,22,13
2548,2,22,20,23,14,6
2549,9,19,10,4,1,8
2550,13,9,19,1,24,11
2551,11,15,14,4,3,2
2552,8,5,24,16,18,15
2553,1,24,4,11,23,15
2554,18,23,17,20,2,4
2555,6,22,23,12,13,19
2556,9,5,14,18,17,7
2557,3,1,23,21,12,22
2558,3,21,12,18,20,16
2559,9,16,14,2,15,11
2560,7,4,21,10,18,8
2561,11,5,9,21,2,13
2562,14,24,13,20,6,19
2563,11,4,12,19,16,3
2564,7,4,1,5,8,18
2565,13,17,23,22,24,14
2566,1,9,2,20,10,21
2567,6,11,23,17,3,1
2568,4,3,18,15,21,6
2569,17,6,11,20,23,19
2570,6,12,4,18,17,1
2571,8,15,16,18,2,7
2572,7,14,15,13,8,3
2573,18,9,6,7,12,8
2574,20,13,1,15,6,3
2575,9,20,12,13,4,7
2576,1,21,10,3,14,17
2577,8,14,22,6,18,9
2578,1,15,7,13,11,9
2579,4,6,20,19,10,21
2580,3,13,7,17,14,22
2581,5,12,8,19,4,15
2582,2,5,3,17,9,8
2583,21,11,22,15,3,24
2584,10,24,7,18,2,22
2585,1,18,13,9,23,11
2586,22,18,13,20,16,5
2587,22,13,7,16,14,8
2588,19,3,9,17,16,21
2589,8,1,6,3,9,11
2590,5,2,3,10,16,1
2591,23,7,6,15,20,19
2592,22,5,19,6,16,14
2593,2,7,14,3,9,11
2594,14,11,18,24,2,23
2595,14,22,24,4,23,15
2596,23,22,21,20,10,13
2597,14,18,7,15,17,1
2598,3,7,6,13,9,5
2599,24,1,3,22,12,6
2600,11,20,19,12,10,7
2601,24,12,5,16,2,18
2602,17,6,14,7,18,11
2603,16,12,18,15,19,11
2604,17,20,2,18,1,19
2605,1,4,23,10,24,9
2606,20,16,11,5,12,19
2607,17,21,15,2,11,12
2608,24,23,1,3,8,19
2609,2,21,6,14,13,5
2610,21,8,5,7,3,1
2611,17,22,11,13,9,19
2612,23,1,20,12,24,7
2613,7,17,9,16,4,3
2614,22,1,23,7,10,13
2615,17,19,7,16,23,8
2616,23,3,11,16,9,14
2617,19,1,24,12,18,22
2618,16,11,6,5,4,24
2619,12,19,7,1,8,10
2620,3,18,7,11,17,5
2621,20,6,8,17,9,22
2622,9,1,24,14,12,19
2623,15,20,7,4,2,14
2624,19,4,11,12,8,18
2625,17,11,18,5,14,1
2626,19,2,8,17,1,23
2627,6,8,18,19,15,4
2628,11,20,10,6,7,13
2629,4,14,8,10,15,11
2630,8,11,7,12,16,15
2631,10,13,15,18,6,4
2632,2,17,10,8,24,22
2633,4,16,13,20,12,10
2634,20,12,23,22,24,9
2635,23,1,5,15,3,22
2636,9,22,23,12,24,5
2637,16,22,3,5,4,9
2638,21,9,20,4,7,14
2639,14,15,4,23,1,20
2640,5,16,14,13,20,8
2641,14,15,6,8,12,22
2642,16,1,9,3,7,4
2643,11,10,13,19,4,12
2644,2,18,17,10,15,19
2645,4,17,6,19,3,23
2646,19,20,8,5,2,7
2647,4,18,8,5,20,16
2648,23,4,24,19,21,16
2649,20,10,1,24,9,17
2650,7,5,10,3,9,20
2651,24,10,4,1,8,7
2652,10,16,2,9,21,15
2653,24,18,1,19,21,4
2654,10,6,16,18,20,3
2655,17,20,16,8,2,19
2656,2,16,22,3,14,12
2657,10,1,22,4,3,17
2658,15,1,19,18,4,13
2659,10,15,6,16,23,24
2660,16,3,13,19,6,20
2661,7,15,10,19,9,21
2662,23,22,24,1,12,10
2663,22,5,2,18,11,1
2664,18,11,23,9,22,16
2665,18,17,4,6,19,8
2666,14,24,19,12,17,21
2667,9,14,2,12,6,11
2668,2,20,24,8,17,1
2669,9,12,23,4,5,19
2670,22,5,14,6,2,3
2671,17,24,2,15,12,7
2672,9,16,12,11,17,23
2673,21,4,17,15,2,6
2674,11,24,3,23,1,20
2675,24,3,18,23,11,6
2676,23,10,1,2,14,5
2677,12,23,2,3,14,4
2678,13,1,23,5,20,16
2679,24,21,8,5,1,10
2680,9,23,5,10,14,13
2681,18,2,10,15,21,24
2682,14,20,4,9,22,10
2683,8,2,16,20,19,12
2684,21,20,2,5,7,17
2685,10,4,6,17,15,24
2686,7,1,14,5,3,24
2687,14,5,1,4,17,13
2688,24,15,1,20,2,19
2689,6,11,15,1,2,24
2690,23,12,20,4,8,3
2691,2,4,1,18,16,14
2692,22,3,2,4,1,14
2693,7,16,4,9,20,23
2694,9,19,24,5,23,11
2695,18,19,9,24,14,20
2696,5,17,7,22,23,4
2697,13,1,6,21,10,22
2698,14,20,16,18,22,15
2699,2,3,11,14,1,24
2700,2,4,1,11,7,3
2701,16,13,21,23,15,4
2702,5,11,8,2,14,18
2703,14,6,19,8,24,18
2704,22,1,20,16,14,6
2705,2,21,11,1,8,7
2706,1,16,10,22,2,6
2707,24,10,14,6,9,12
2708,3,13,1,15,8,11
2709,5,22,8,19,23,24
2710,14,16,22,1,15,2
2711,16,23,4,20,7,6
2712,24,11,19,18,3,15
2713,14,19,17,7,9,10
2714,4,19,18,6,15,12
2715,24,23,8,3,7,2
2716,23,2,24,6,16,9
2717,1,21,7,10,12,4
2718,3,21,4,7,16,24
2719,8,9,1,13,24,15
2720,22,19,1,21,13,3
2721,11,22,5,14,21,15
2722,2,8,19,16,6,13
2723,17,20,7,24,5,9
2724,4,24,5,6,1,17
2725,17,8,13,19,9,14
2726,18,15,12,1,23,14
2727,3,22,2,4,6,23
2728,1,2,17,8,22,21
2729,4,7,19,17,20,24
2730,6,5,7,10,8,17
2731,15,23,21,10,14,4
2732,11,16,22,1,4,13
2733,24,9,20,19,10,11
2734,23,16,12,18,20,22
2735,11,17,23,15,2,4
2736,20,23,18,24,2,10
2737,4,17,21,15,24,3
2738,1,19,9,4,14,16
2739,12,16,13,6,19,11
2740,21,6,8,16,1,11
2741,13,14,9,6,7,10
2742,2,14,22,6,11,16
2743,1,20,12,4,15,24
2744,22,9,17,12,13,24
2745,16,9,2,7,6,11
2746,23,2,4,9,16,15
2747,6,9,12,4,10,18
2748,23,18,22,21,4,1
2749,24,1,12,19,13,20
2750,6,8,23,10,16,17
2751,11,9,16,13,12,5
2752,11,5,18,9,15,22
2753,19,21,14,8,11,13
2754,8,9,19,6,14,22
2755,12,17,18,13,14,16
2756,20,22,11,23,15,4
2757,3,8,16,17,18,15
2758,5,9,16,15,24,23
2759,13,11,3,19,24,8
2760,9,15,10,2,13,1
2761,11,4,24,12,15,14
2762,6,15,7,12,3,22
2763,2,12,23,15,19,1
2764,12,13,10,7,16,23
2765,22,5,9,24,11,17
2766,23,21,8,9,11,1
2767,18,4,7,1,11,24
2768,12,8,4,13,7,2
2769,16,14,24,3,21,13
2770,23,12,8,21,4,18
2771,6,24,10,20,8,1
2772,3,14,23,11,17,5
2773,12,4,10,11,3,7
2774,10,15,6,18,9,13
2775,13,9,5,21,1,6
2776,13,20,23,9,12,15
2777,4,23,16,18,22,14
2778,22,19,3,20,10,13
2779,13,17,11,6,14,3
2780,10,21,3,18,22,6
2781,3,18,10,22,5,16
2782,12,7,19,23,22,24
2783,21,7,8,15,17,1
2784,8,17,6,9,20,18
2785,24,23,17,10,7,12
2786,15,7,2,16,10,19
2787,9,12,18,16,19,20
2788,15,24,17,23,16,1
2789,23,16,5,12,13,4
2790,8,17,24,3,5,20
2791,12,4,15,17,23,24
2792,23,20,4,14,10,6
2793,5,20,15,23,6,13
2794,20,22,10,13,8,6
2795,1,12,20,19,10,24
2796,14,20,1,8,21,15
2797,10,23,18,9,16,1
2798,12,16,2,13,22,17
2799,14,24,9,1,6,3
2800,22,8,4,23,16,19
2801,12,10,2,20,16,14
2802,4,11,1,6,19,22
2803,6,15,24,12,11,18
2804,5,12,16,15,7,22
2805,5,21,4,3,18,8
2806,18,2,21,16,4,12
2807,18,1,22,20,3,5
2808,13,22,21,11,20,17
2809,7,23,12,24,16,21
2810,21,2,17,14,18,24
2811,16,23,8,1,21,10
2812,15,1,12,23,9,13
2813,15,2,18,16,9,22
2814,18,12,15,2,19,6
2815,19,11,13,24,14,18
2816,17,1,10,23,5,2
2817,5,17,24,21,2,13
2818,10,18,24,5,14,20
2819,13,7,9,1,15,10
2820,21,7,1,22,19,6
2821,8,23,15,7,6,20
2822,17,6,19,4,21,2
2823,5,12,1,20,3,23
2824,15,18,7,17,20,11
2825,3,19,14,18,20,8
2826,16,21,4,24,20,8
2827,9,14,18,2,20,7
2828,16,4,8,20,1,5
2829,21,9,13,22,23,2
2830,14,23,9,13,5,3
2831,1,9,23,19,5,20
2832,2,4,18,12,5,9
2833,20,4,24,13,19,15
2834,12,22,9,14,20,23
2835,19,22,3,10,7,24
2836,13,1,3,22,20,18
2837,21,23,19,14,10,6
2838,2,10,6,16,15,14
2839,20,4,24,3,23,2
2840,11,6,13,1,3,7
2841,14,11,23,3,2,18
2842,12,1,6,22,23,13
2843,6,23,15,24,3,8
2844,17,24,23,2,14,15
2845,15,20,12,17,18,6
2846,14,9,24,6,7,4
2847,20,17,9,24,11,6
2848,20,7,6,24,3,21
2849,7,18,4,21,20,16
2850,8,15,3,10,1,24
2851,3,14,8,24,17,7
2852,11,23,1,19,22,8
2853,4,15,2,13,10,9
2854,5,10,4,1,20,3
2855,21,1,8,11,23,20
2856,17,24,11,7,2,1
2857,6,16,24,15,20,23
2858,16,19,24,23,10,14
2859,17,12,1,23,22,7
2860,8,24,18,2,3,15
2861,14,9,23,8,15,2
