,A,B,C,D,E,F,G,H,I,J,K,L
5344,18,5,29,6,22,33,21,27,36,9,23,17
5345,35,18,24,36,11,27,2,13,10,26,3,6
5346,27,13,18,35,17,22,25,28,32,33,5,14
5347,32,27,17,26,29,5,31,13,14,9,34,10
5348,26,19,29,18,20,1,30,2,27,3,32,28
5349,35,31,13,24,9,26,36,32,23,16,5,30
5350,1,10,2,24,22,25,27,35,28,12,32,31
5351,9,36,1,13,30,26,17,20,27,11,32,19
5352,33,6,18,30,22,26,27,31,1,17,9,36
5353,24,16,23,34,15,26,20,32,36,11,31,21
5354,7,25,18,31,2,20,36,8,21,13,27,34
5355,6,14,23,10,15,26,24,7,18,20,12,4
5356,4,29,8,30,15,25,16,24,31,19,2,27
5357,12,24,13,4,11,2,31,30,3,19,32,17
5358,4,19,27,33,32,6,17,10,13,16,20,14
5359,12,13,36,32,8,26,5,3,19,4,1,27
5360,19,27,24,11,5,25,1,10,12,2,6,35
5361,32,11,28,36,17,9,30,29,3,26,34,19
5362,17,12,30,14,11,18,36,15,35,25,33,26
5363,33,18,32,22,6,28,24,11,27,3,1,14
5364,14,6,16,4,9,20,35,17,31,30,32,18
5365,10,2,15,8,33,27,21,35,36,29,4,20
5366,3,27,1,16,24,18,33,6,35,34,11,7
5367,4,23,21,5,7,25,22,11,27,16,6,15
5368,6,8,17,26,31,3,33,35,19,23,11,15
5369,36,3,26,29,6,19,13,2,34,18,1,5
5370,36,6,35,18,12,16,15,25,2,13,20,31
5371,23,20,27,12,33,15,28,32,1,8,19,11
5372,33,20,19,30,8,36,18,28,22,14,2,27
5373,3,22,15,30,14,8,20,17,21,7,36,11
5374,7,32,28,29,12,36,5,9,22,35,11,6
5375,25,32,22,24,29,33,2,15,21,8,23,4
5376,8,21,16,20,5,2,17,7,28,25,1,12
5377,16,17,9,21,35,4,5,11,31,20,32,34
5378,17,21,8,16,7,19,13,12,34,15,28,32
5379,17,35,27,26,33,23,3,14,36,16,31,9
5380,15,10,12,4,7,8,19,6,21,26,36,29
5381,23,22,26,36,32,34,13,15,2,21,6,27
5382,14,31,35,1,7,34,26,23,22,16,15,36
5383,20,9,36,26,4,15,28,34,17,19,6,10
5384,1,8,28,26,3,12,15,20,7,9,17,10
5385,14,30,9,25,36,20,2,27,18,31,22,32
5386,21,12,36,25,16,3,27,23,1,34,18,31
5387,14,15,7,22,36,10,24,33,27,34,29,4
5388,7,3,5,17,9,24,13,31,16,11,22,33
5389,6,25,24,9,36,17,2,33,16,31,29,1
5390,14,7,26,30,25,6,3,9,31,21,13,5
5391,35,3,20,2,11,15,8,22,23,21,33,36
5392,6,24,31,8,26,14,30,29,20,4,12,34
5393,29,24,17,5,4,14,28,35,22,11,23,19
5394,28,27,19,33,17,7,8,30,11,23,16,31
5395,27,5,2,11,17,10,21,12,22,33,7,29
5396,2,12,14,6,32,26,10,3,36,11,1,34
5397,19,27,24,8,5,22,6,32,31,9,17,21
5398,13,3,12,22,20,17,32,29,24,31,25,15
5399,11,8,31,22,24,6,2,3,13,26,16,27
5400,13,32,22,25,10,18,20,33,3,30,31,26
5401,36,22,14,31,24,26,17,27,34,13,12,25
5402,6,19,31,2,12,9,21,1,22,17,7,4
5403,5,29,15,36,17,22,19,9,16,35,11,25
5404,28,17,11,31,9,18,2,8,12,13,35,33
5405,33,27,2,8,28,16,17,22,30,35,4,32
5406,11,35,25,6,31,8,14,18,34,26,24,27
5407,19,11,14,22,31,2,29,13,27,16,15,21
5408,29,8,32,20,33,2,11,27,7,23,21,14
5409,36,17,34,35,25,23,10,28,5,21,8,1
5410,20,17,13,26,19,2,29,35,9,8,3,34
5411,33,23,10,12,35,19,6,9,1,24,17,18
5412,22,14,19,21,17,31,9,23,2,7,5,8
5413,19,20,27,14,31,6,16,33,25,23,22,32
5414,1,18,4,35,14,33,7,20,24,22,36,23
5415,9,8,7,16,6,32,11,17,1,19,15,18
5416,23,13,32,35,29,5,26,30,18,21,24,14
5417,6,1,16,15,33,8,27,26,14,4,32,21
5418,2,24,30,32,21,18,34,17,4,13,5,9
5419,36,12,14,34,21,9,23,3,26,6,8,22
5420,10,13,29,26,21,7,25,5,22,16,4,36
5421,31,18,6,32,13,12,15,10,11,20,8,1
5422,6,35,26,3,18,19,25,33,9,2,8,28
5423,8,31,34,4,18,30,24,15,27,12,10,16
5424,23,15,19,18,26,7,12,9,8,22,31,6
5425,30,3,4,20,23,6,19,18,28,15,27,1
5426,29,19,26,15,6,11,16,13,12,30,25,35
5427,7,10,29,31,34,12,24,20,36,17,8,13
5428,35,13,9,4,3,8,14,20,29,19,33,2
5429,4,18,7,34,11,5,21,17,10,6,26,1
5430,33,31,21,16,32,18,30,34,14,26,15,19
5431,21,34,18,2,4,11,6,3,28,7,27,8
5432,2,5,19,30,31,26,12,15,20,25,14,18
5433,29,36,4,16,23,21,19,12,6,7,20,25
5434,2,10,34,12,17,32,21,24,11,26,16,15
5435,18,5,28,4,2,31,16,17,10,32,22,12
5436,6,16,33,14,25,4,20,17,12,30,11,18
5437,22,21,32,6,36,14,33,23,5,35,4,30
5438,2,21,15,35,5,6,33,22,24,14,8,29
5439,36,4,23,10,5,21,26,20,28,29,2,12
5440,11,20,26,19,23,1,34,8,5,10,21,22
5441,20,29,21,26,6,22,17,35,18,2,8,13
5442,1,18,7,3,31,35,11,36,27,21,22,23
5443,30,24,23,13,4,2,28,26,32,11,5,10
5444,12,10,32,33,17,1,35,29,24,16,7,11
5445,33,1,8,27,29,6,26,19,24,16,12,18
5446,21,32,4,11,34,25,18,16,35,36,28,1
5447,16,24,33,32,22,9,18,35,8,4,23,20
5448,32,29,25,28,14,2,22,12,35,6,30,26
5449,8,24,33,17,26,11,3,6,19,36,14,34
5450,28,18,14,27,31,8,21,3,20,26,6,2
5451,8,31,19,14,33,15,9,6,21,35,34,20
5452,4,16,10,32,36,13,8,33,18,7,22,35
5453,2,32,27,14,6,36,22,4,19,15,21,33
5454,29,5,32,8,12,22,1,18,15,25,27,10
5455,9,28,15,23,11,31,34,13,26,17,25,8
5456,16,29,34,6,11,14,5,4,17,22,32,35
5457,27,32,10,26,25,19,29,2,21,17,23,4
5458,36,20,23,3,32,17,5,13,33,11,15,19
5459,16,11,30,35,22,33,9,28,14,20,1,29
5460,33,10,35,8,34,16,1,31,24,2,13,28
5461,3,4,9,30,2,7,20,6,5,29,34,27
5462,26,4,25,3,5,2,1,35,27,15,9,17
5463,29,23,6,9,22,36,26,10,30,34,14,8
5464,28,25,16,3,22,19,17,15,29,1,26,33
5465,2,36,21,6,8,14,26,33,3,32,18,29
5466,11,7,9,16,21,27,32,13,35,17,22,3
5467,11,22,35,10,32,2,19,8,31,30,28,29
5468,15,20,28,8,23,36,6,5,33,35,34,14
5469,24,20,3,2,34,31,21,28,33,15,27,36
5470,28,6,17,35,2,20,23,8,25,29,32,24
5471,28,32,4,34,30,36,29,6,14,12,22,17
5472,29,11,2,35,5,25,15,8,17,9,22,34
5473,13,5,28,9,11,18,36,7,1,34,21,24
5474,33,5,16,24,20,27,30,9,23,22,18,11
5475,3,18,10,9,12,36,29,25,31,26,6,34
5476,27,20,22,4,12,18,31,35,14,21,6,26
5477,34,8,31,29,20,17,7,27,1,21,12,14
5478,31,27,28,11,15,16,4,29,34,6,35,12
5479,3,14,11,16,20,27,23,17,32,36,8,10
5480,5,12,33,23,16,9,7,11,27,14,28,20
5481,26,18,25,36,1,34,32,13,3,10,31,8
5482,10,36,5,7,25,11,31,34,33,2,9,29
5483,15,1,10,11,24,33,29,20,16,17,35,9
5484,20,15,23,16,5,3,32,19,17,1,8,4
5485,20,19,31,21,23,12,15,10,2,34,14,30
5486,24,31,14,19,29,32,7,35,10,1,16,18
5487,17,4,10,27,28,29,1,26,12,32,33,14
5488,6,10,11,31,16,4,20,28,9,15,1,14
5489,16,24,25,14,2,3,9,4,32,26,11,23
5490,14,21,24,13,32,27,36,33,16,12,28,23
5491,13,17,25,10,2,28,30,33,29,12,32,7
5492,31,15,5,33,26,30,36,35,14,7,9,20
5493,21,1,26,34,25,12,18,30,15,14,19,4
5494,9,8,28,32,4,7,15,6,35,11,18,36
5495,35,18,6,27,30,3,29,14,9,19,36,2
5496,23,34,32,16,5,18,33,30,12,10,27,9
5497,21,27,19,3,10,5,13,15,23,2,14,6
5498,34,12,27,36,16,9,33,7,6,4,19,17
5499,13,16,26,5,17,2,22,15,19,24,18,11
5500,33,3,12,9,17,10,29,15,20,5,16,4
5501,2,16,4,21,25,6,5,34,7,24,31,18
5502,10,35,1,25,3,18,34,8,28,19,11,23
5503,3,23,2,25,31,13,8,6,14,36,20,7
5504,14,5,22,8,20,28,4,3,18,10,35,30
5505,19,7,5,23,31,3,22,2,16,15,18,26
5506,25,19,22,10,23,16,18,9,31,5,30,13
5507,23,11,17,13,14,35,24,4,26,25,1,6
5508,30,2,14,7,35,33,5,3,28,19,26,31
5509,1,23,18,35,25,13,7,34,31,14,36,33
5510,16,23,28,35,18,32,27,2,22,7,13,36
5511,2,5,23,21,28,12,15,24,20,27,3,8
5512,17,32,27,21,24,1,11,18,2,33,28,19
5513,2,12,30,14,17,35,34,33,10,26,27,21
5514,7,31,6,27,33,18,35,32,21,3,22,8
5515,1,2,13,16,21,7,8,25,22,26,28,23
5516,28,19,5,36,18,17,15,7,32,29,16,34
5517,23,27,9,7,4,34,30,15,21,22,32,17
5518,34,16,33,2,11,26,32,9,4,10,19,7
5519,36,21,3,8,12,32,2,11,15,7,27,35
5520,17,7,14,8,28,27,21,11,32,5,16,25
5521,30,19,29,24,11,4,1,14,28,12,8,7
5522,3,28,7,17,9,13,14,31,29,10,8,15
5523,5,10,25,11,20,34,31,28,14,13,9,21
5524,31,8,14,34,21,19,18,33,12,36,5,22
5525,29,21,27,11,10,2,12,15,24,31,8,14
5526,33,21,14,26,19,13,28,12,6,7,32,29
5527,5,1,33,11,28,10,7,21,36,8,27,23
5528,26,25,2,8,32,9,22,3,5,24,35,18
5529,36,35,25,5,15,18,29,6,11,26,30,14
5530,19,11,31,36,28,26,32,16,13,12,34,30
5531,23,28,12,25,13,33,29,7,15,16,27,21
5532,27,30,25,34,19,20,23,29,1,4,33,28
5533,13,15,23,17,3,1,20,7,28,25,26,29
5534,19,2,22,7,8,23,29,14,5,16,18,33
5535,25,11,31,27,28,7,5,33,13,14,19,15
5536,21,13,4,15,25,17,20,6,18,34,7,32
5537,1,29,2,7,15,28,36,18,3,21,25,35
5538,27,3,30,35,36,7,26,15,33,21,11,19
5539,34,17,11,32,31,9,8,15,28,12,16,24
5540,29,5,34,13,35,32,1,15,25,24,18,6
5541,21,1,5,33,27,20,4,7,3,35,12,26
5542,4,31,14,3,28,10,19,25,9,32,27,22
5543,10,5,1,7,2,24,15,31,9,25,14,8
5544,10,35,9,11,18,17,1,26,20,27,5,12
5545,33,6,18,35,13,24,36,4,30,17,20,16
5546,36,12,6,35,25,24,14,19,33,7,8,15
5547,13,35,15,34,10,36,26,28,22,8,3,25
5548,3,28,15,9,27,1,4,26,2,7,16,22
5549,18,27,17,5,28,8,19,9,14,32,22,11
5550,27,34,22,8,6,14,24,17,16,23,21,28
5551,23,3,5,6,17,26,33,12,34,30,18,35
5552,34,11,29,30,21,10,28,13,20,23,17,18
5553,25,3,28,21,15,29,14,36,5,10,1,32
5554,21,31,8,30,29,35,20,15,3,16,32,22
5555,21,29,30,13,33,11,18,12,15,7,5,1
5556,35,14,9,36,27,13,34,15,10,29,21,16
5557,7,33,31,24,4,19,17,8,30,18,34,13
5558,10,1,3,27,5,12,4,26,7,15,24,23
5559,7,28,5,2,16,32,26,15,18,34,35,13
5560,16,11,1,35,12,9,30,2,31,23,13,33
5561,30,31,28,32,19,22,5,15,33,20,34,14
5562,36,1,20,31,16,35,25,15,3,12,27,11
5563,2,25,20,28,14,22,19,9,8,27,18,15
5564,32,24,22,11,10,6,18,3,13,35,25,34
5565,28,20,12,10,6,8,25,19,4,30,5,36
5566,1,19,10,33,9,15,13,11,17,2,28,20
5567,19,25,15,8,4,26,30,9,36,12,24,3
5568,11,3,1,24,12,4,36,25,5,9,15,13
5569,27,34,25,10,9,24,22,31,33,35,30,20
5570,29,10,6,2,17,26,3,11,19,13,27,34
5571,15,7,27,23,11,32,16,36,9,8,25,17
5572,16,35,24,30,34,11,22,27,33,28,29,6
5573,2,17,22,29,33,25,14,34,6,27,9,5
5574,25,27,2,18,23,35,9,4,31,12,29,5
5575,26,32,16,25,31,8,11,3,24,10,27,13
5576,3,35,15,2,32,19,29,36,8,30,34,5
5577,28,33,31,9,18,30,6,7,22,17,4,5
5578,13,35,9,2,6,24,22,3,30,7,1,21
5579,30,17,18,16,7,32,26,11,15,9,31,19
5580,9,27,22,11,33,29,8,16,18,25,14,4
5581,4,7,27,32,25,21,23,34,30,33,3,2
5582,15,2,3,4,9,34,26,11,30,10,6,20
5583,10,26,13,1,34,17,3,21,27,33,24,22
5584,16,27,10,30,15,31,26,9,18,2,23,6
5585,26,8,36,35,33,24,6,5,21,13,7,11
5586,14,32,34,30,33,25,31,36,10,6,7,26
5587,10,25,29,2,28,13,18,4,11,16,5,3
5588,11,21,28,33,29,26,23,8,17,19,1,25
5589,22,28,24,12,16,5,15,6,20,2,4,1
5590,20,13,36,15,31,34,17,12,6,7,25,10
5591,22,17,33,13,9,5,15,27,2,36,14,29
5592,35,33,36,17,6,34,19,1,28,7,23,12
5593,4,2,11,21,33,14,20,26,28,34,3,12
5594,1,28,12,25,34,13,26,8,29,17,23,11
5595,35,21,31,33,17,18,20,5,19,34,7,23
5596,12,21,10,17,9,31,25,34,28,4,11,24
5597,23,12,8,28,16,22,1,17,20,2,9,21
5598,36,19,32,20,30,1,6,18,33,3,24,4
5599,2,11,18,32,1,29,25,28,14,30,4,31
5600,18,24,19,26,20,22,11,23,14,27,15,36
5601,32,30,17,8,18,13,2,11,19,28,22,4
5602,30,7,27,36,18,6,33,13,28,14,19,26
5603,3,34,15,8,26,10,32,6,18,4,22,27
5604,23,24,33,12,28,7,8,5,22,20,15,18
5605,12,5,23,27,13,22,32,10,16,2,17,3
5606,14,22,9,34,26,29,33,25,36,30,20,23
5607,17,31,5,16,28,20,33,23,6,11,29,7
5608,34,25,2,20,30,10,32,28,7,33,16,1
5609,29,15,28,23,13,20,21,8,3,16,10,30
5610,36,21,14,22,34,26,17,13,5,11,2,7
5611,10,7,25,4,34,13,31,28,5,14,1,6
5612,10,14,11,23,30,5,15,2,4,12,21,3
5613,25,27,15,8,24,29,35,36,6,21,28,10
5614,30,34,16,5,7,26,28,23,4,17,3,8
5615,12,23,33,5,1,36,2,19,34,27,32,8
5616,2,26,22,5,29,25,18,7,16,33,14,23
5617,17,12,28,6,16,34,35,10,23,14,2,8
5618,20,1,28,35,4,3,11,9,25,36,2,7
5619,15,36,31,10,23,29,34,25,7,6,24,5
5620,10,29,1,5,20,21,9,11,13,31,3,19
5621,21,34,35,13,14,2,16,9,23,30,4,29
5622,12,23,7,15,28,35,22,1,3,5,26,10
5623,32,24,8,21,26,34,9,1,2,12,25,19
5624,23,18,6,10,36,12,14,20,21,28,25,9
5625,35,17,31,29,4,33,19,28,30,21,1,18
5626,31,3,17,8,13,34,7,35,18,25,11,23
5627,14,33,6,15,7,13,30,31,8,11,24,26
5628,1,27,30,12,8,35,20,17,19,10,13,6
5629,7,10,34,25,9,27,11,28,32,20,35,15
5630,11,24,9,25,20,23,2,7,21,36,8,5
5631,9,19,24,2,36,34,33,26,7,3,21,30
5632,2,23,14,13,6,20,35,9,18,36,19,24
5633,21,24,30,28,26,11,27,14,3,22,34,36
5634,31,15,8,3,5,11,24,27,12,23,6,14
5635,29,9,8,14,2,5,27,15,17,32,34,20
5636,36,20,2,10,24,4,22,32,14,23,9,27
5637,19,26,36,16,32,13,5,20,8,10,18,1
5638,1,22,19,33,27,12,23,4,29,8,13,18
5639,8,33,20,30,31,12,16,34,1,6,32,21
5640,22,34,30,15,36,18,29,17,8,25,13,32
5641,34,22,4,31,33,20,13,14,12,25,24,9
5642,8,12,23,25,32,33,20,16,6,13,27,11
5643,34,2,12,20,8,19,5,28,6,25,16,3
5644,19,20,2,28,11,31,9,17,30,23,13,18
5645,35,14,24,26,30,19,8,28,5,33,10,32
5646,8,35,29,19,32,34,13,5,26,23,16,7
5647,18,33,20,17,12,1,9,22,32,6,19,13
5648,18,5,10,36,19,22,17,16,34,4,13,8
5649,29,5,13,36,27,14,23,1,25,32,20,9
5650,18,1,28,35,23,32,24,5,16,34,6,10
5651,3,16,24,2,8,35,27,30,25,7,19,14
5652,27,1,30,13,36,6,14,28,20,17,31,15
5653,14,29,30,19,3,15,7,20,23,22,36,11
5654,18,23,27,7,3,5,10,13,28,25,32,8
5655,20,2,35,34,9,27,33,19,22,31,32,4
5656,16,33,20,4,32,12,18,34,11,9,17,13
5657,31,2,11,3,30,17,1,20,23,7,15,33
5658,10,29,26,18,30,4,35,23,25,24,33,9
5659,26,35,23,31,27,16,8,22,34,11,1,33
5660,18,34,19,33,32,5,16,26,20,29,3,8
5661,35,1,29,14,5,28,2,25,11,6,12,24
5662,17,24,36,16,8,14,22,35,10,15,2,26
5663,29,20,31,2,6,9,22,32,23,11,13,15
5664,9,22,6,29,15,35,12,23,1,30,20,4
5665,22,20,9,24,13,11,10,3,12,19,29,4
5666,12,14,13,8,27,20,5,34,16,17,11,15
5667,4,28,22,18,15,10,20,2,7,6,25,24
5668,4,28,34,29,19,15,2,12,17,30,35,10
5669,28,35,19,2,4,11,18,36,17,15,34,7
5670,33,14,25,9,23,28,30,11,34,5,35,18
5671,23,8,28,30,18,29,21,14,16,32,24,3
5672,17,2,23,11,32,6,12,29,10,22,8,26
5673,27,2,26,6,18,15,9,8,30,4,36,29
5674,32,28,25,6,11,30,35,33,17,13,14,22
5675,31,13,24,25,26,36,8,12,33,11,32,3
5676,28,15,12,3,10,22,6,33,31,5,29,35
5677,18,7,19,20,34,29,16,26,31,33,36,17
5678,16,32,31,27,6,15,10,30,20,21,2,34
5679,7,6,1,3,24,15,2,23,20,34,36,18
5680,30,11,33,3,29,5,36,31,27,26,17,23
5681,26,32,35,11,2,24,23,13,27,5,10,8
5682,19,22,32,9,17,31,29,3,30,2,8,33
5683,30,1,36,34,13,32,20,33,8,29,9,16
5684,15,31,23,29,25,22,34,26,2,28,24,27
5685,34,22,5,10,14,29,12,23,2,32,27,8
5686,28,1,32,23,30,2,15,33,31,34,19,21
5687,17,5,25,28,18,8,16,12,20,14,6,13
5688,35,9,7,29,22,5,36,16,13,27,21,25
5689,26,27,5,23,6,18,21,22,36,20,9,12
5690,35,12,21,8,28,14,4,7,22,3,15,27
5691,26,31,29,28,12,30,23,11,9,34,18,13
5692,2,16,21,8,30,7,24,23,33,15,17,10
5693,14,7,24,6,10,25,3,20,33,15,30,1
5694,13,30,9,2,15,7,6,17,24,36,26,4
5695,3,8,15,31,10,29,7,4,26,1,19,5
5696,3,17,12,10,16,20,14,11,19,33,24,5
5697,6,28,35,9,30,15,13,25,3,7,27,12
5698,15,13,22,31,33,3,1,2,23,27,17,35
5699,14,23,9,4,20,8,34,11,7,6,25,29
5700,1,7,10,34,3,13,23,25,33,16,19,22
5701,22,34,31,19,13,15,30,24,21,33,25,28
5702,27,16,30,33,21,23,7,4,29,25,20,13
5703,34,13,5,15,2,33,14,21,1,19,16,3
5704,10,6,28,33,3,31,23,7,15,14,22,5
5705,11,4,27,28,29,20,31,26,18,6,13,36
5706,5,3,29,35,31,8,1,28,14,7,16,11
5707,3,36,23,12,14,28,16,32,29,13,11,30
5708,23,5,19,20,29,26,24,30,25,1,31,34
5709,22,36,2,19,8,20,24,7,15,9,11,35
5710,17,4,9,28,26,11,15,34,35,6,36,10
5711,24,12,3,35,23,8,4,26,36,32,33,2
5712,7,4,31,20,27,35,25,19,32,1,10,2
5713,1,35,24,4,14,19,32,25,11,5,29,6
5714,15,33,13,17,18,24,7,36,29,30,22,23
5715,19,36,1,2,4,32,18,25,22,12,6,26
5716,14,33,12,13,31,22,15,8,34,19,30,36
5717,12,36,11,5,23,26,28,27,14,20,13,6
5718,11,23,8,29,33,20,27,32,16,18,24,9
5719,19,36,18,9,17,12,3,29,33,27,5,28
5720,24,16,25,23,36,32,29,31,13,34,5,15
5721,33,6,32,31,30,35,9,16,14,22,25,10
5722,18,28,26,7,31,2,34,33,32,19,23,15
5723,24,1,11,28,19,17,34,31,29,35,36,18
5724,5,12,29,6,21,27,3,10,26,8,7,36
5725,19,3,32,16,33,8,17,15,34,20,6,7
5726,26,25,6,16,29,1,27,9,20,4,28,7
5727,11,30,15,21,28,23,22,32,36,27,9,19
5728,25,21,18,5,23,31,24,27,30,19,36,20
5729,36,9,21,27,22,14,24,33,30,31,34,3
5730,6,31,36,28,33,13,4,1,14,30,21,3
5731,36,6,3,34,5,25,7,20,35,29,14,12
5732,9,5,8,28,34,29,13,2,10,20,36,4
5733,2,30,24,11,8,5,25,18,26,7,15,28
5734,6,35,22,31,19,15,12,24,34,9,2,18
5735,31,19,6,13,22,33,27,24,12,21,29,30
5736,23,29,26,21,15,25,7,36,14,28,18,4
5737,30,31,27,17,14,12,26,21,7,28,2,5
5738,29,17,8,10,12,16,11,25,3,36,14,20
5739,24,32,16,1,22,30,29,18,10,9,20,5
5740,23,1,27,17,28,35,11,19,20,18,8,7
5741,31,23,11,32,18,10,27,1,21,22,13,25
5742,32,21,23,25,5,4,12,35,29,18,15,16
5743,9,27,5,6,8,17,26,18,28,25,10,15
5744,16,12,27,20,14,17,13,33,36,28,24,11
5745,27,35,25,12,36,15,11,33,14,31,22,13
5746,5,21,31,19,18,30,22,23,15,25,27,13
5747,24,34,31,26,13,23,9,20,6,19,11,25
5748,19,26,4,2,34,11,23,28,21,18,10,24
5749,19,12,30,4,3,2,1,27,32,24,8,29
5750,29,30,15,13,28,24,16,31,2,17,27,8
5751,21,2,4,27,22,14,3,24,19,33,8,31
5752,9,17,12,25,27,24,8,36,18,34,16,31
5753,29,28,4,22,17,8,32,21,19,16,12,15
5754,24,28,13,33,35,4,20,7,34,25,10,12
5755,8,9,17,26,31,15,3,7,1,23,10,32
5756,28,29,26,13,3,10,18,22,27,11,30,24
5757,14,3,18,10,24,32,12,7,23,36,17,25
5758,27,24,10,32,9,35,2,29,19,20,4,33
5759,1,15,18,28,34,20,2,7,12,26,36,6
5760,30,11,31,20,28,2,3,7,6,5,15,27
5761,18,1,23,5,4,25,17,27,36,8,22,15
5762,3,12,19,6,4,22,23,8,11,25,15,27
5763,12,36,24,4,7,11,33,27,18,32,16,1
5764,1,34,28,11,26,33,13,24,5,19,16,29
5765,31,2,11,12,36,20,17,25,10,23,15,27
5766,6,20,19,26,32,13,28,9,36,4,5,35
5767,2,4,35,12,3,17,6,23,18,30,11,28
5768,17,18,26,36,19,12,23,13,7,15,14,1
5769,18,1,13,28,36,10,21,20,32,26,14,19
5770,12,10,29,22,16,34,7,33,24,20,2,28
5771,2,21,24,36,28,5,29,22,26,4,31,13
5772,16,2,10,18,26,23,19,31,11,9,35,3
5773,19,21,27,31,25,12,11,1,8,15,23,30
5774,17,18,11,19,5,34,32,28,35,14,21,36
5775,32,21,14,31,33,22,16,27,5,12,28,11
5776,13,34,27,10,15,30,7,22,20,21,9,23
5777,2,16,20,6,27,17,7,34,19,13,14,12
5778,31,20,4,6,28,34,27,1,8,3,17,7
5779,23,32,36,8,22,21,9,31,16,28,14,2
5780,16,22,6,18,33,36,34,24,29,30,23,21
5781,4,32,30,27,7,10,25,17,13,2,16,24
5782,8,21,16,7,30,32,2,3,11,5,22,26
5783,27,2,23,6,34,7,12,36,24,14,33,25
5784,33,36,19,11,10,12,15,25,26,7,29,21
5785,20,36,5,15,12,24,27,35,11,2,19,29
5786,2,26,10,18,31,27,23,25,9,5,32,14
5787,34,4,9,23,1,22,31,36,29,16,2,14
5788,7,17,32,24,34,28,11,3,20,8,18,25
5789,2,15,29,30,35,32,16,8,22,20,7,11
5790,36,28,3,31,5,4,32,19,18,34,8,26
5791,5,11,30,4,26,17,21,20,16,36,10,18
5792,11,27,32,7,33,2,34,31,16,6,17,26
5793,1,23,31,34,21,9,22,29,6,19,26,14
5794,14,23,2,15,18,11,32,4,12,28,10,31
5795,23,8,33,3,16,18,21,24,35,28,32,29
5796,1,14,12,17,26,11,32,19,2,6,29,7
5797,26,12,8,31,18,14,11,2,20,36,17,25
5798,17,13,20,33,4,14,29,25,11,7,19,23
5799,32,27,14,30,20,24,29,6,19,13,18,26
5800,28,10,5,1,20,32,22,2,23,17,31,9
5801,16,6,19,14,30,1,29,33,31,36,21,28
5802,18,1,32,6,23,19,15,34,35,33,5,10
5803,6,10,4,9,20,5,30,29,12,21,16,25
5804,21,34,36,3,27,31,14,8,28,23,5,11
5805,34,23,10,22,14,19,18,29,8,28,24,4
5806,6,29,30,13,2,15,14,24,23,31,34,26
5807,25,31,36,27,12,13,33,22,6,10,24,17
5808,10,17,3,24,28,20,32,19,23,12,7,36
5809,25,1,10,3,23,18,21,9,11,20,29,33
5810,36,33,31,34,13,28,14,8,4,3,29,25
5811,16,10,2,26,29,6,36,17,25,18,24,23
5812,27,19,33,14,35,21,25,20,28,32,11,30
5813,30,12,5,21,28,29,14,24,13,2,26,27
5814,4,15,36,2,17,32,26,16,18,1,10,5
5815,17,13,5,32,29,34,3,1,19,2,10,31
5816,26,24,29,19,25,7,12,6,27,8,2,14
5817,31,26,5,35,36,1,28,32,14,4,33,16
5818,30,23,19,29,22,11,25,35,18,14,20,3
5819,26,2,13,8,33,4,31,21,15,9,6,16
5820,18,1,16,30,8,27,25,28,11,4,6,7
5821,2,1,31,3,5,27,35,17,23,26,6,8
5822,14,18,28,3,32,23,16,36,8,9,5,21
5823,31,24,10,12,11,15,3,13,2,14,29,19
5824,7,22,4,23,9,35,30,13,29,27,24,11
5825,12,11,24,2,25,27,36,22,34,9,19,35
5826,27,36,2,24,20,19,16,5,14,15,18,33
5827,13,24,33,16,8,36,15,2,25,1,7,11
5828,2,10,1,24,17,18,33,26,36,16,22,12
5829,13,29,28,17,27,19,36,4,11,21,25,16
5830,13,27,17,1,35,16,5,3,11,24,10,30
5831,35,31,12,1,7,33,16,13,21,34,36,18
5832,33,1,3,31,20,19,34,9,32,12,10,36
5833,6,30,21,15,14,12,13,5,23,25,26,7
5834,14,35,12,9,2,29,4,17,36,11,15,24
5835,10,13,35,3,16,14,1,9,5,20,30,12
5836,5,34,9,2,4,6,27,24,7,8,22,35
5837,16,30,15,4,19,14,18,22,13,10,35,20
5838,4,16,25,19,31,21,28,35,14,23,36,17
5839,5,29,30,26,20,34,33,3,8,36,1,15
5840,23,20,4,19,7,22,34,35,29,6,31,1
5841,9,1,17,18,33,26,31,11,8,28,13,21
5842,25,33,19,21,29,7,32,15,24,35,16,36
5843,21,9,2,11,23,19,28,22,16,5,24,12
5844,18,33,24,21,11,4,25,16,27,32,10,35
5845,3,12,11,26,9,30,15,32,28,31,7,16
5846,20,31,2,16,27,36,24,35,3,26,32,30
5847,31,30,27,21,36,35,22,2,5,23,1,4
5848,8,1,33,34,19,5,4,28,16,18,32,27
5849,2,13,24,29,36,28,9,34,11,30,18,12
5850,19,23,16,21,3,30,28,2,29,17,10,25
5851,18,3,29,31,1,5,4,24,14,27,21,36
5852,12,20,31,8,19,36,11,28,3,10,25,1
5853,14,8,27,12,26,34,10,33,32,36,19,5
5854,11,29,28,4,9,23,2,22,6,34,8,25
5855,7,13,29,25,27,9,35,15,5,6,16,3
5856,19,34,8,18,23,35,21,27,5,7,22,26
5857,26,33,18,17,35,24,12,27,16,34,2,36
5858,23,28,24,19,33,27,34,26,36,8,29,10
5859,2,35,19,15,16,36,34,7,4,13,5,26
5860,5,34,4,29,10,2,33,16,11,15,36,12
